receipt_date,cust_id,customer,ref_inv,amount
2026-02-18,C1015,Heritage Food Services Inc.,INV-253513,7892.37
2026-02-18,C1032,Stark County Services,INV-253550,9876.77
2026-02-18,C1002,Bayview Medical Center Inc.,see remit,1650.77
2026-02-19,C1012,Great Lakes Logistics Inc.,INV-260413,25099.98
2026-02-19,C1021,Maple Heights Facilities LLC,INV-260027,7596.08
2026-02-19,C1010,Forest City Hotels and Resorts,INV-260142,11621.02
2026-02-20,C1036,University Circle Services,INV-253539,13665.57
2026-02-20,C1008,Evergreen Senior Living Inc.,INV-253567,53186.78
2026-02-20,C1012,Great Lakes Logistics Inc.,INV-260431,25177.61
2026-02-20,C1036,University Circle Services,INV-260249,17580.75
2026-02-20,C1021,Maple Heights Facilities LLC,INV-260163,26801.26
2026-02-20,C1019,Lakeshore Cleaning Services Inc.,INV-260120,8977.85
2026-02-20,C1021,Maple Heights Facilities LLC,INV-260156,11848.57
2026-02-20,C1019,Lakeshore Cleaning Services Inc.,INV-260417,10688.85
2026-02-20,C1010,Forest City Hotels and Resorts,INV-260424,27270.83
2026-02-20,C1019,Lakeshore Cleaning Services Inc.,INV-260139,7929.49
2026-02-20,C1035,Twinsburg Industrial Park LLC,INV-260123,23164.22
2026-02-20,C1032,Stark County Services,INV-260296,11065.25
2026-02-23,C1002,Bayview Medical Center Inc.,INV-253542,55047.54
2026-02-23,C1002,Bayview Medical Center Inc.,INV-253566,4821.92
2026-02-23,C1033,Summit Healthcare Group Inc.,INV-253574,5802.52
2026-02-23,C1036,University Circle Services,see remit,30039.68
2026-02-23,C1030,Sandusky Marine and Supply,INV-260092,3310.37
2026-02-23,C1033,Summit Healthcare Group Inc.,INV-260352,9888.51
2026-02-24,C1008,Evergreen Senior Living Inc.,INV-260388,9594.66
2026-02-24,C1009,Fairlawn Public Schools,INV-260370,27246.19
2026-02-24,C1013,Hamilton County Services,INV-260265,29288.49
2026-02-24,C1030,Sandusky Marine and Supply,INV-260071,15442.54
2026-02-24,C1013,Hamilton County Services,INV-260039,29914.13
2026-02-24,C1013,Hamilton County Services,INV-260025,6600.58
2026-02-24,C1009,Fairlawn Public Schools,INV-260426,18520.44
2026-02-25,C1040,Youngstown Metal Works Inc.,INV-252631,5084.76
2026-02-25,C1036,University Circle Services,INV-252672,8767.92
2026-02-25,C1040,Youngstown Metal Works Inc.,INV-252718,12060.33
2026-02-25,C1034,Tri-State Warehouse Company,INV-260450,8587.89
2026-02-25,C1010,Forest City Hotels and Resorts,INV-260418,1534.31
2026-02-25,C1028,Portage Cold Storage Company,INV-260019,15942.68
2026-02-25,C1020,Lorain Distribution Company,INV-260391,7943.17
2026-02-25,C1023,Midwest Stadium Services Inc.,INV-260283,3468.88
2026-02-25,C1034,Tri-State Warehouse Company,INV-260281,6857.21
2026-02-25,C1012,Great Lakes Logistics Inc.,INV-260228,29907.47
2026-02-25,C1031,Shaker Square Retail Partners,INV-260443,29378.01
2026-02-26,C1026,Parma Community College,INV-260203,27474.65
2026-02-26,C1019,Lakeshore Cleaning Services Inc.,INV-260166,22061.64
2026-02-26,C1039,Willoughby Tech Center,INV-260441,6968.98
2026-02-26,C1012,Great Lakes Logistics Inc.,INV-260394,17209.38
2026-02-27,C1027,Pinnacle Building Services Inc.,INV-260028,16292.69
2026-02-27,C1011,Garfield Industrial Company,INV-260244,18828.14
2026-02-27,C1013,Hamilton County Services,INV-260117,29625.36
2026-02-27,C1024,North Coast Restaurants LLC,INV-260003,8532.11
2026-02-27,C1034,Tri-State Warehouse Company,INV-260434,15042.58
2026-02-27,C1033,Summit Healthcare Group Inc.,INV-260076,4290.67
2026-02-27,C1036,University Circle Services,INV-260089,16166.08
2026-02-27,C1036,University Circle Services,INV-260211,22025.97
2026-02-27,C1014,Harborview Apartments LLC,INV-260186,24302.29
2026-02-27,C1029,Riverside Fitness Clubs LLC,INV-260307,15744.5
2026-02-27,C1007,Eastgate Office Partners,INV-260025,28519.78
