inv_no,inv_date,ship_date,cust_id,customer,amount,memo,month
INV-250582,2025-03-10,2025-03-10,C1011,Garfield Industrial Company,1536.33,Standing order,2025-03
INV-250583,2025-03-10,2025-03-09,C1012,Great Lakes Logistics Inc.,2898.44,PO 40993,2025-03
INV-250584,2025-03-10,2025-03-09,C1012,Great Lakes Logistics Inc.,31383.71,,2025-03
INV-250585,2025-03-10,2025-03-10,C1015,Heritage Food Services Inc.,13209.79,PO 44769,2025-03
INV-250586,2025-03-10,2025-03-10,C1016,Highland Manufacturing Company,9552.05,,2025-03
INV-250587,2025-03-10,2025-03-10,C1018,Kent Valley Hospital,4867.27,,2025-03
INV-250588,2025-03-10,2025-03-10,C1019,Lakeshore Cleaning Services Inc.,4310.99,,2025-03
INV-250589,2025-03-10,2025-03-09,C1025,Oak Ridge Office Parks,19277.83,Standing order,2025-03
INV-250590,2025-03-10,2025-03-10,C1028,Portage Cold Storage Company,9438.1,,2025-03
INV-250591,2025-03-10,2025-03-10,C1035,Twinsburg Industrial Park LLC,7960.46,,2025-03
INV-250592,2025-03-11,2025-03-11,C1008,Evergreen Senior Living Inc.,11138.93,,2025-03
INV-250593,2025-03-11,2025-03-10,C1012,Great Lakes Logistics Inc.,22788.56,,2025-03
INV-250594,2025-03-11,2025-03-10,C1016,Highland Manufacturing Company,25438.14,,2025-03
INV-250595,2025-03-11,2025-03-10,C1018,Kent Valley Hospital,1575.91,PO 47616,2025-03
INV-250596,2025-03-11,2025-03-11,C1018,Kent Valley Hospital,23137.68,,2025-03
INV-250597,2025-03-11,2025-03-10,C1018,Kent Valley Hospital,5651.06,,2025-03
INV-250598,2025-03-11,2025-03-11,C1025,Oak Ridge Office Parks,3491.18,Standing order,2025-03
INV-250599,2025-03-11,2025-03-11,C1026,Parma Community College,6532.77,,2025-03
INV-250600,2025-03-11,2025-03-10,C1030,Sandusky Marine and Supply,8671.04,,2025-03
INV-250601,2025-03-11,2025-03-11,C1034,Tri-State Warehouse Company,3322.15,PO 44609,2025-03
INV-250602,2025-03-11,2025-03-11,C1035,Twinsburg Industrial Park LLC,29898.05,Standing order,2025-03
INV-250603,2025-03-11,2025-03-11,C1038,Westlake Commercial Cleaning Company,9519.34,,2025-03
INV-250604,2025-03-11,2025-03-11,C1038,Westlake Commercial Cleaning Company,12877.15,PO 40750,2025-03
INV-250605,2025-03-11,2025-03-11,C1038,Westlake Commercial Cleaning Company,3787.54,PO 44942,2025-03
INV-250606,2025-03-12,2025-03-12,C1001,Allegheny Property Management LLC,7478.68,,2025-03
INV-250607,2025-03-12,2025-03-12,C1002,Bayview Medical Center Inc.,6192.4,PO 40939,2025-03
INV-250608,2025-03-12,2025-03-12,C1003,Cardinal Hospitality Group LLC,9019.13,PO 48480,2025-03
INV-250609,2025-03-12,2025-03-12,C1014,Harborview Apartments LLC,2958.35,PO 45337,2025-03
INV-250610,2025-03-12,2025-03-12,C1033,Summit Healthcare Group Inc.,3864.15,PO 48091,2025-03
INV-250611,2025-03-12,2025-03-12,C1035,Twinsburg Industrial Park LLC,14684.68,Standing order,2025-03
INV-250612,2025-03-12,2025-03-12,C1036,University Circle Services,10289.82,,2025-03
INV-250613,2025-03-12,2025-03-12,C1037,Valley View Hotels Inc.,4773.32,Standing order,2025-03
INV-250614,2025-03-12,2025-03-12,C1038,Westlake Commercial Cleaning Company,2529.29,,2025-03
INV-250615,2025-03-12,2025-03-12,C1040,Youngstown Metal Works Inc.,8281.75,,2025-03
INV-250616,2025-03-13,2025-03-13,C1005,Clearwater Janitorial Company,7449.18,,2025-03
INV-250617,2025-03-13,2025-03-13,C1011,Garfield Industrial Company,95000.0,,2025-03
INV-250618,2025-03-13,2025-03-13,C1011,Garfield Industrial Company,5481.34,,2025-03
INV-250619,2025-03-13,2025-03-12,C1012,Great Lakes Logistics Inc.,8688.5,PO 48243,2025-03
INV-250620,2025-03-13,2025-03-13,C1015,Heritage Food Services Inc.,7825.55,PO 46808,2025-03
INV-250621,2025-03-13,2025-03-13,C1018,Kent Valley Hospital,8571.85,,2025-03
INV-250622,2025-03-13,2025-03-12,C1018,Kent Valley Hospital,11350.06,Standing order,2025-03
INV-250623,2025-03-13,2025-03-13,C1019,Lakeshore Cleaning Services Inc.,3557.64,,2025-03
INV-250624,2025-03-13,2025-03-13,C1022,Medina Auto Group,10600.38,,2025-03
INV-250625,2025-03-13,2025-03-13,C1025,Oak Ridge Office Parks,2955.42,,2025-03
INV-250626,2025-03-13,2025-03-12,C1026,Parma Community College,1680.1,PO 42255,2025-03
INV-250627,2025-03-13,2025-03-13,C1026,Parma Community College,4020.47,,2025-03
INV-250628,2025-03-13,2025-03-13,C1026,Parma Community College,16054.71,PO 48655,2025-03
INV-250629,2025-03-13,2025-03-13,C1027,Pinnacle Building Services Inc.,14832.34,,2025-03
INV-250630,2025-03-13,2025-03-13,C1032,Stark County Services,23228.46,,2025-03
INV-250631,2025-03-13,2025-03-13,C1033,Summit Healthcare Group Inc.,1309.58,,2025-03
INV-250632,2025-03-13,2025-03-13,C1035,Twinsburg Industrial Park LLC,31270.65,Standing order,2025-03
INV-250633,2025-03-13,2025-03-13,C1036,University Circle Services,18836.0,Standing order,2025-03
INV-250634,2025-03-13,2025-03-12,C1036,University Circle Services,22745.98,,2025-03
INV-250635,2025-03-13,2025-03-13,C1036,University Circle Services,2227.3,,2025-03
INV-250636,2025-03-13,2025-03-13,C1038,Westlake Commercial Cleaning Company,3634.05,PO 41680,2025-03
INV-250637,2025-03-13,2025-03-12,C1038,Westlake Commercial Cleaning Company,8443.18,Standing order,2025-03
INV-250638,2025-03-13,2025-03-12,C1038,Westlake Commercial Cleaning Company,16711.3,PO 45971,2025-03
INV-250639,2025-03-13,2025-03-13,C1040,Youngstown Metal Works Inc.,8345.23,,2025-03
INV-250640,2025-03-14,2025-03-14,C1002,Bayview Medical Center Inc.,2434.6,,2025-03
INV-250641,2025-03-14,2025-03-14,C1002,Bayview Medical Center Inc.,5555.04,,2025-03
INV-250642,2025-03-14,2025-03-14,C1002,Bayview Medical Center Inc.,11311.39,,2025-03
INV-250643,2025-03-14,2025-03-14,C1007,Eastgate Office Partners,2283.3,Standing order,2025-03
INV-250644,2025-03-14,2025-03-14,C1009,Fairlawn Public Schools,7218.39,,2025-03
INV-250645,2025-03-14,2025-03-13,C1014,Harborview Apartments LLC,28169.16,,2025-03
INV-250646,2025-03-14,2025-03-14,C1025,Oak Ridge Office Parks,2825.48,,2025-03
INV-250647,2025-03-14,2025-03-13,C1030,Sandusky Marine and Supply,3890.1,,2025-03
INV-250648,2025-03-14,2025-03-14,C1030,Sandusky Marine and Supply,7052.22,,2025-03
INV-250649,2025-03-14,2025-03-14,C1033,Summit Healthcare Group Inc.,20722.8,,2025-03
INV-250650,2025-03-14,2025-03-14,C1033,Summit Healthcare Group Inc.,6826.9,,2025-03
INV-250651,2025-03-14,2025-03-14,C1038,Westlake Commercial Cleaning Company,9883.03,,2025-03
INV-250652,2025-03-14,2025-03-13,C1040,Youngstown Metal Works Inc.,20758.04,Standing order,2025-03
INV-250653,2025-03-14,2025-03-14,C1040,Youngstown Metal Works Inc.,14354.81,,2025-03
INV-250654,2025-03-14,2025-03-14,C1040,Youngstown Metal Works Inc.,7457.32,,2025-03
INV-250655,2025-03-17,2025-03-17,C1002,Bayview Medical Center Inc.,14535.99,,2025-03
INV-250656,2025-03-17,2025-03-17,C1002,Bayview Medical Center Inc.,10287.89,Standing order,2025-03
INV-250657,2025-03-17,2025-03-17,C1008,Evergreen Senior Living Inc.,5460.36,,2025-03
INV-250658,2025-03-17,2025-03-17,C1008,Evergreen Senior Living Inc.,1436.61,,2025-03
INV-250659,2025-03-17,2025-03-17,C1011,Garfield Industrial Company,5031.27,,2025-03
INV-250660,2025-03-17,2025-03-17,C1023,Midwest Stadium Services Inc.,21786.2,,2025-03
INV-250661,2025-03-17,2025-03-16,C1025,Oak Ridge Office Parks,11457.79,,2025-03
INV-250662,2025-03-17,2025-03-16,C1026,Parma Community College,4543.57,Standing order,2025-03
INV-250663,2025-03-17,2025-03-16,C1032,Stark County Services,6145.34,Standing order,2025-03
INV-250664,2025-03-17,2025-03-17,C1035,Twinsburg Industrial Park LLC,12407.8,,2025-03
INV-250665,2025-03-17,2025-03-16,C1036,University Circle Services,4297.86,,2025-03
INV-250666,2025-03-17,2025-03-17,C1036,University Circle Services,19031.66,PO 49540,2025-03
INV-250667,2025-03-18,2025-03-17,C1002,Bayview Medical Center Inc.,3063.96,,2025-03
INV-250668,2025-03-18,2025-03-18,C1003,Cardinal Hospitality Group LLC,3663.54,,2025-03
INV-250669,2025-03-18,2025-03-18,C1005,Clearwater Janitorial Company,9110.17,,2025-03
INV-250670,2025-03-18,2025-03-18,C1005,Clearwater Janitorial Company,6055.2,,2025-03
INV-250671,2025-03-18,2025-03-18,C1007,Eastgate Office Partners,5172.82,PO 43631,2025-03
INV-250672,2025-03-18,2025-03-18,C1009,Fairlawn Public Schools,16646.31,,2025-03
INV-250673,2025-03-18,2025-03-18,C1011,Garfield Industrial Company,29968.58,,2025-03
INV-250674,2025-03-18,2025-03-18,C1015,Heritage Food Services Inc.,14891.33,,2025-03
INV-250675,2025-03-18,2025-03-18,C1020,Lorain Distribution Company,3431.53,,2025-03
INV-250676,2025-03-18,2025-03-18,C1025,Oak Ridge Office Parks,17906.88,Standing order,2025-03
INV-250677,2025-03-18,2025-03-17,C1026,Parma Community College,37010.45,,2025-03
INV-250678,2025-03-18,2025-03-18,C1026,Parma Community College,4584.65,,2025-03
INV-250679,2025-03-18,2025-03-17,C1033,Summit Healthcare Group Inc.,11219.26,,2025-03
INV-250680,2025-03-18,2025-03-18,C1033,Summit Healthcare Group Inc.,3540.11,,2025-03
INV-250681,2025-03-18,2025-03-17,C1034,Tri-State Warehouse Company,7892.05,Standing order,2025-03
INV-250682,2025-03-18,2025-03-18,C1036,University Circle Services,7654.09,,2025-03
INV-250683,2025-03-18,2025-03-18,C1038,Westlake Commercial Cleaning Company,8162.1,PO 42693,2025-03
INV-250684,2025-03-18,2025-03-18,C1039,Willoughby Tech Center,5719.53,PO 47758,2025-03
INV-250685,2025-03-18,2025-03-18,C1040,Youngstown Metal Works Inc.,14578.89,PO 43402,2025-03
INV-250686,2025-03-18,2025-03-18,C1040,Youngstown Metal Works Inc.,5090.15,,2025-03
INV-250687,2025-03-18,2025-03-18,C1040,Youngstown Metal Works Inc.,5308.79,PO 40937,2025-03
INV-250688,2025-03-19,2025-03-19,C1003,Cardinal Hospitality Group LLC,16549.6,Standing order,2025-03
INV-250689,2025-03-19,2025-03-19,C1008,Evergreen Senior Living Inc.,4204.86,Standing order,2025-03
INV-250690,2025-03-19,2025-03-18,C1009,Fairlawn Public Schools,11246.02,PO 44601,2025-03
INV-250691,2025-03-19,2025-03-19,C1011,Garfield Industrial Company,5006.56,,2025-03
INV-250692,2025-03-19,2025-03-19,C1022,Medina Auto Group,3055.87,PO 44063,2025-03
INV-250693,2025-03-19,2025-03-19,C1026,Parma Community College,9968.72,,2025-03
INV-250694,2025-03-19,2025-03-19,C1026,Parma Community College,10699.56,Standing order,2025-03
INV-250695,2025-03-19,2025-03-18,C1030,Sandusky Marine and Supply,6731.78,PO 46584,2025-03
INV-250696,2025-03-19,2025-03-18,C1030,Sandusky Marine and Supply,13843.96,Standing order,2025-03
INV-250697,2025-03-19,2025-03-18,C1033,Summit Healthcare Group Inc.,6753.81,Standing order,2025-03
INV-250698,2025-03-19,2025-03-19,C1035,Twinsburg Industrial Park LLC,3983.77,,2025-03
INV-250699,2025-03-19,2025-03-19,C1036,University Circle Services,2942.73,PO 47817,2025-03
INV-250700,2025-03-19,2025-03-19,C1037,Valley View Hotels Inc.,21493.15,,2025-03
INV-250701,2025-03-19,2025-03-18,C1038,Westlake Commercial Cleaning Company,4338.12,PO 43103,2025-03
INV-250702,2025-03-19,2025-03-19,C1038,Westlake Commercial Cleaning Company,26979.59,PO 47083,2025-03
INV-250703,2025-03-19,2025-03-19,C1040,Youngstown Metal Works Inc.,2725.19,Standing order,2025-03
INV-250704,2025-03-20,2025-03-19,C1010,Forest City Hotels and Resorts,4006.72,,2025-03
INV-250705,2025-03-20,2025-03-19,C1012,Great Lakes Logistics Inc.,3422.63,,2025-03
INV-250706,2025-03-20,2025-03-20,C1017,Ironwood Property Services,21516.58,,2025-03
INV-250707,2025-03-20,2025-03-20,C1018,Kent Valley Hospital,3433.66,,2025-03
INV-250708,2025-03-20,2025-03-20,C1025,Oak Ridge Office Parks,11577.03,,2025-03
INV-250709,2025-03-20,2025-03-20,C1026,Parma Community College,63720.27,,2025-03
INV-250710,2025-03-20,2025-03-20,C1035,Twinsburg Industrial Park LLC,8754.91,PO 48032,2025-03
INV-250711,2025-03-21,2025-03-21,C1002,Bayview Medical Center Inc.,4226.4,,2025-03
INV-250712,2025-03-21,2025-03-21,C1002,Bayview Medical Center Inc.,11450.51,,2025-03
INV-250713,2025-03-21,2025-03-21,C1004,Cedar Point Facility Services,8133.6,Standing order,2025-03
INV-250714,2025-03-21,2025-03-20,C1004,Cedar Point Facility Services,4752.66,PO 40448,2025-03
INV-250715,2025-03-21,2025-03-21,C1012,Great Lakes Logistics Inc.,12861.57,,2025-03
INV-250716,2025-03-21,2025-03-21,C1023,Midwest Stadium Services Inc.,3346.05,Standing order,2025-03
INV-250717,2025-03-21,2025-03-21,C1033,Summit Healthcare Group Inc.,12841.19,,2025-03
INV-250718,2025-03-21,2025-03-21,C1033,Summit Healthcare Group Inc.,9970.71,,2025-03
INV-250719,2025-03-21,2025-03-20,C1038,Westlake Commercial Cleaning Company,2145.45,Standing order,2025-03
INV-250720,2025-03-24,2025-03-24,C1002,Bayview Medical Center Inc.,8175.39,PO 46494,2025-03
INV-250721,2025-03-24,2025-03-23,C1008,Evergreen Senior Living Inc.,6159.66,Standing order,2025-03
INV-250722,2025-03-24,2025-03-24,C1010,Forest City Hotels and Resorts,11203.89,,2025-03
INV-250723,2025-03-24,2025-03-23,C1011,Garfield Industrial Company,7187.07,,2025-03
INV-250724,2025-03-24,2025-03-24,C1016,Highland Manufacturing Company,2382.4,,2025-03
INV-250725,2025-03-24,2025-03-24,C1024,North Coast Restaurants LLC,5410.51,,2025-03
INV-250726,2025-03-24,2025-03-23,C1025,Oak Ridge Office Parks,13120.27,PO 48856,2025-03
INV-250727,2025-03-24,2025-03-24,C1025,Oak Ridge Office Parks,11063.18,PO 40751,2025-03
INV-250728,2025-03-24,2025-03-24,C1026,Parma Community College,3579.49,PO 41314,2025-03
INV-250729,2025-03-24,2025-03-24,C1036,University Circle Services,7768.1,,2025-03
INV-250730,2025-03-24,2025-03-24,C1038,Westlake Commercial Cleaning Company,12058.07,PO 49505,2025-03
INV-250731,2025-03-25,2025-03-25,C1002,Bayview Medical Center Inc.,10765.74,,2025-03
INV-250732,2025-03-25,2025-03-25,C1002,Bayview Medical Center Inc.,21588.45,,2025-03
INV-250733,2025-03-25,2025-03-25,C1003,Cardinal Hospitality Group LLC,7343.9,,2025-03
INV-250734,2025-03-25,2025-03-24,C1004,Cedar Point Facility Services,43594.4,PO 40719,2025-03
INV-250735,2025-03-25,2025-03-25,C1006,Delmar Janitorial Services LLC,19972.68,,2025-03
INV-250736,2025-03-25,2025-03-25,C1014,Harborview Apartments LLC,5101.2,PO 46898,2025-03
INV-250737,2025-03-25,2025-03-25,C1019,Lakeshore Cleaning Services Inc.,8391.0,,2025-03
INV-250738,2025-03-25,2025-03-25,C1022,Medina Auto Group,4729.96,PO 42638,2025-03
INV-250739,2025-03-25,2025-03-25,C1026,Parma Community College,26895.76,,2025-03
INV-250740,2025-03-25,2025-03-25,C1027,Pinnacle Building Services Inc.,20830.23,,2025-03
INV-250741,2025-03-25,2025-03-25,C1035,Twinsburg Industrial Park LLC,49308.27,,2025-03
INV-250742,2025-03-25,2025-03-25,C1038,Westlake Commercial Cleaning Company,6950.39,PO 44177,2025-03
INV-250743,2025-03-25,2025-03-24,C1038,Westlake Commercial Cleaning Company,3647.27,,2025-03
INV-250744,2025-03-26,2025-03-25,C1002,Bayview Medical Center Inc.,4707.94,,2025-03
INV-250745,2025-03-26,2025-03-25,C1003,Cardinal Hospitality Group LLC,8152.88,,2025-03
INV-250746,2025-03-26,2025-03-26,C1007,Eastgate Office Partners,4226.09,,2025-03
INV-250747,2025-03-26,2025-03-26,C1007,Eastgate Office Partners,8033.29,,2025-03
INV-250748,2025-03-26,2025-03-25,C1011,Garfield Industrial Company,10161.62,,2025-03
INV-250749,2025-03-26,2025-03-25,C1012,Great Lakes Logistics Inc.,9318.81,Standing order,2025-03
INV-250750,2025-03-26,2025-03-25,C1014,Harborview Apartments LLC,13642.73,,2025-03
INV-250751,2025-03-26,2025-03-26,C1016,Highland Manufacturing Company,2979.02,Standing order,2025-03
INV-250752,2025-03-26,2025-03-26,C1016,Highland Manufacturing Company,11244.99,,2025-03
INV-250753,2025-03-26,2025-03-26,C1016,Highland Manufacturing Company,5414.29,,2025-03
INV-250754,2025-03-26,2025-03-25,C1025,Oak Ridge Office Parks,5597.19,Standing order,2025-03
INV-250755,2025-03-26,2025-03-26,C1026,Parma Community College,21769.75,Standing order,2025-03
INV-250756,2025-03-26,2025-03-25,C1028,Portage Cold Storage Company,13230.27,,2025-03
INV-250757,2025-03-26,2025-03-26,C1032,Stark County Services,16475.47,,2025-03
INV-250758,2025-03-26,2025-03-25,C1035,Twinsburg Industrial Park LLC,13770.51,,2025-03
INV-250759,2025-03-26,2025-03-26,C1036,University Circle Services,10320.65,,2025-03
INV-250760,2025-03-26,2025-03-25,C1038,Westlake Commercial Cleaning Company,10344.86,,2025-03
INV-250761,2025-03-26,2025-03-26,C1038,Westlake Commercial Cleaning Company,34102.18,,2025-03
INV-250762,2025-03-26,2025-03-25,C1040,Youngstown Metal Works Inc.,35085.12,,2025-03
INV-250763,2025-03-27,2025-03-27,C1002,Bayview Medical Center Inc.,12934.26,PO 43702,2025-03
INV-250764,2025-03-27,2025-03-27,C1002,Bayview Medical Center Inc.,12721.45,PO 40333,2025-03
INV-250765,2025-03-27,2025-03-27,C1002,Bayview Medical Center Inc.,9602.89,,2025-03
INV-250766,2025-03-27,2025-03-26,C1004,Cedar Point Facility Services,23322.95,,2025-03
INV-250767,2025-03-27,2025-03-27,C1004,Cedar Point Facility Services,3565.64,Standing order,2025-03
INV-250768,2025-03-27,2025-03-27,C1007,Eastgate Office Partners,2483.51,PO 40255,2025-03
INV-250769,2025-03-27,2025-03-27,C1010,Forest City Hotels and Resorts,4666.75,PO 41991,2025-03
INV-250770,2025-03-27,2025-03-26,C1010,Forest City Hotels and Resorts,2571.87,,2025-03
INV-250771,2025-03-27,2025-03-27,C1011,Garfield Industrial Company,3927.84,PO 46446,2025-03
INV-250772,2025-03-27,2025-03-27,C1015,Heritage Food Services Inc.,9459.97,,2025-03
INV-250773,2025-03-27,2025-03-27,C1018,Kent Valley Hospital,6490.35,PO 44481,2025-03
INV-250774,2025-03-27,2025-03-27,C1025,Oak Ridge Office Parks,9659.8,PO 41579,2025-03
INV-250775,2025-03-27,2025-03-27,C1026,Parma Community College,15730.44,,2025-03
INV-250776,2025-03-27,2025-03-26,C1033,Summit Healthcare Group Inc.,5610.14,,2025-03
INV-250777,2025-03-27,2025-03-27,C1035,Twinsburg Industrial Park LLC,9644.68,,2025-03
INV-250778,2025-03-27,2025-03-26,C1037,Valley View Hotels Inc.,7997.53,Standing order,2025-03
INV-250779,2025-03-27,2025-03-27,C1038,Westlake Commercial Cleaning Company,44863.65,,2025-03
INV-250780,2025-03-27,2025-03-26,C1038,Westlake Commercial Cleaning Company,15306.41,Standing order,2025-03
INV-250781,2025-03-28,2025-03-27,C1004,Cedar Point Facility Services,46524.17,,2025-03
INV-250782,2025-03-28,2025-03-28,C1010,Forest City Hotels and Resorts,3037.88,,2025-03
INV-250783,2025-03-28,2025-03-27,C1011,Garfield Industrial Company,2126.13,,2025-03
INV-250784,2025-03-28,2025-03-28,C1012,Great Lakes Logistics Inc.,16414.38,,2025-03
INV-250785,2025-03-28,2025-03-28,C1014,Harborview Apartments LLC,25371.58,,2025-03
INV-250786,2025-03-28,2025-03-28,C1022,Medina Auto Group,7282.68,,2025-03
INV-250787,2025-03-28,2025-03-28,C1024,North Coast Restaurants LLC,24344.27,PO 46156,2025-03
INV-250788,2025-03-28,2025-03-28,C1028,Portage Cold Storage Company,4041.79,,2025-03
INV-250789,2025-03-28,2025-03-28,C1036,University Circle Services,9384.48,,2025-03
INV-250790,2025-03-28,2025-03-28,C1038,Westlake Commercial Cleaning Company,23623.69,Standing order,2025-03
INV-250791,2025-03-28,2025-03-28,C1040,Youngstown Metal Works Inc.,21014.22,,2025-03
INV-250792,2025-03-31,2025-03-31,C1002,Bayview Medical Center Inc.,8490.12,,2025-03
INV-250793,2025-03-31,2025-03-30,C1003,Cardinal Hospitality Group LLC,9370.97,,2025-03
INV-250794,2025-03-31,2025-03-31,C1011,Garfield Industrial Company,11260.26,PO 44669,2025-03
INV-250795,2025-03-31,2025-03-30,C1013,Hamilton County Services,7685.66,,2025-03
INV-250796,2025-03-31,2025-03-31,C1022,Medina Auto Group,5328.22,,2025-03
INV-250797,2025-03-31,2025-03-30,C1025,Oak Ridge Office Parks,4932.72,,2025-03
INV-250798,2025-03-31,2025-03-31,C1026,Parma Community College,4091.86,,2025-03
INV-250799,2025-03-31,2025-03-31,C1027,Pinnacle Building Services Inc.,7613.42,,2025-03
INV-250800,2025-03-31,2025-03-30,C1031,Shaker Square Retail Partners,4407.86,PO 46747,2025-03
INV-250801,2025-03-31,2025-03-30,C1033,Summit Healthcare Group Inc.,5714.36,Standing order,2025-03
INV-250802,2025-03-31,2025-03-30,C1040,Youngstown Metal Works Inc.,8452.45,Standing order,2025-03
INV-250803,2025-04-01,2025-04-01,C1006,Delmar Janitorial Services LLC,11672.18,,2025-04
INV-250804,2025-04-01,2025-04-01,C1007,Eastgate Office Partners,20330.49,Standing order,2025-04
INV-250805,2025-04-01,2025-04-01,C1018,Kent Valley Hospital,4762.84,Standing order,2025-04
INV-250806,2025-04-01,2025-04-01,C1019,Lakeshore Cleaning Services Inc.,9392.47,,2025-04
INV-250807,2025-04-01,2025-03-31,C1025,Oak Ridge Office Parks,11161.49,Standing order,2025-04
INV-250808,2025-04-01,2025-03-31,C1028,Portage Cold Storage Company,16690.18,,2025-04
INV-250809,2025-04-01,2025-04-01,C1028,Portage Cold Storage Company,3869.47,,2025-04
INV-250810,2025-04-01,2025-04-01,C1033,Summit Healthcare Group Inc.,10083.17,,2025-04
INV-250811,2025-04-01,2025-04-01,C1035,Twinsburg Industrial Park LLC,13477.32,PO 46413,2025-04
INV-250812,2025-04-01,2025-03-31,C1035,Twinsburg Industrial Park LLC,18088.97,,2025-04
INV-250813,2025-04-01,2025-03-31,C1035,Twinsburg Industrial Park LLC,3895.8,,2025-04
INV-250814,2025-04-01,2025-04-01,C1036,University Circle Services,9785.84,,2025-04
INV-250815,2025-04-01,2025-03-31,C1036,University Circle Services,24777.72,Standing order,2025-04
INV-250816,2025-04-01,2025-04-01,C1040,Youngstown Metal Works Inc.,3049.47,Standing order,2025-04
INV-250817,2025-04-01,2025-04-01,C1040,Youngstown Metal Works Inc.,67735.81,,2025-04
INV-250818,2025-04-01,2025-04-01,C1040,Youngstown Metal Works Inc.,5404.93,,2025-04
INV-250819,2025-04-02,2025-04-02,C1002,Bayview Medical Center Inc.,8859.33,,2025-04
INV-250820,2025-04-02,2025-04-02,C1004,Cedar Point Facility Services,4383.28,,2025-04
INV-250821,2025-04-02,2025-04-01,C1022,Medina Auto Group,4218.14,PO 42528,2025-04
INV-250822,2025-04-02,2025-04-02,C1022,Medina Auto Group,4055.69,,2025-04
INV-250823,2025-04-02,2025-04-02,C1022,Medina Auto Group,12038.47,,2025-04
INV-250824,2025-04-02,2025-04-02,C1025,Oak Ridge Office Parks,16803.58,PO 45520,2025-04
INV-250825,2025-04-02,2025-04-01,C1026,Parma Community College,2350.95,,2025-04
INV-250826,2025-04-02,2025-04-02,C1026,Parma Community College,12365.32,PO 43342,2025-04
INV-250827,2025-04-02,2025-04-02,C1026,Parma Community College,8736.47,,2025-04
INV-250828,2025-04-02,2025-04-02,C1033,Summit Healthcare Group Inc.,4638.29,Standing order,2025-04
INV-250829,2025-04-02,2025-04-01,C1033,Summit Healthcare Group Inc.,5918.55,,2025-04
INV-250830,2025-04-02,2025-04-01,C1036,University Circle Services,30929.13,,2025-04
INV-250831,2025-04-02,2025-04-01,C1038,Westlake Commercial Cleaning Company,17389.52,PO 48723,2025-04
INV-250832,2025-04-02,2025-04-02,C1039,Willoughby Tech Center,20975.86,PO 49630,2025-04
INV-250833,2025-04-02,2025-04-02,C1040,Youngstown Metal Works Inc.,5677.74,PO 44298,2025-04
INV-250834,2025-04-02,2025-04-02,C1040,Youngstown Metal Works Inc.,2246.62,,2025-04
INV-250835,2025-04-02,2025-04-02,C1040,Youngstown Metal Works Inc.,13086.01,Standing order,2025-04
INV-250836,2025-04-02,2025-04-02,C1040,Youngstown Metal Works Inc.,8962.18,Standing order,2025-04
INV-250837,2025-04-02,2025-04-02,C1040,Youngstown Metal Works Inc.,11269.91,Standing order,2025-04
INV-250838,2025-04-03,2025-04-03,C1005,Clearwater Janitorial Company,11333.74,,2025-04
INV-250839,2025-04-03,2025-04-03,C1005,Clearwater Janitorial Company,4722.76,,2025-04
INV-250840,2025-04-03,2025-04-03,C1009,Fairlawn Public Schools,9741.5,PO 40223,2025-04
INV-250841,2025-04-03,2025-04-03,C1011,Garfield Industrial Company,9717.65,PO 48569,2025-04
INV-250842,2025-04-03,2025-04-03,C1011,Garfield Industrial Company,25120.99,Standing order,2025-04
INV-250843,2025-04-03,2025-04-03,C1012,Great Lakes Logistics Inc.,3556.55,,2025-04
INV-250844,2025-04-03,2025-04-02,C1014,Harborview Apartments LLC,3060.06,,2025-04
INV-250845,2025-04-03,2025-04-03,C1023,Midwest Stadium Services Inc.,10355.93,,2025-04
INV-250846,2025-04-03,2025-04-03,C1031,Shaker Square Retail Partners,1424.22,,2025-04
INV-250847,2025-04-03,2025-04-03,C1035,Twinsburg Industrial Park LLC,9713.3,,2025-04
INV-250848,2025-04-03,2025-04-03,C1035,Twinsburg Industrial Park LLC,21067.23,PO 47285,2025-04
INV-250849,2025-04-03,2025-04-03,C1036,University Circle Services,12526.81,,2025-04
INV-250850,2025-04-03,2025-04-03,C1037,Valley View Hotels Inc.,4058.65,,2025-04
INV-250851,2025-04-03,2025-04-03,C1038,Westlake Commercial Cleaning Company,4915.92,Standing order,2025-04
INV-250852,2025-04-03,2025-04-03,C1040,Youngstown Metal Works Inc.,3250.68,Standing order,2025-04
INV-250853,2025-04-03,2025-04-03,C1040,Youngstown Metal Works Inc.,8111.01,,2025-04
INV-250854,2025-04-04,2025-04-04,C1002,Bayview Medical Center Inc.,11966.79,,2025-04
INV-250855,2025-04-04,2025-04-04,C1004,Cedar Point Facility Services,4260.93,,2025-04
INV-250856,2025-04-04,2025-04-04,C1005,Clearwater Janitorial Company,6009.96,,2025-04
INV-250857,2025-04-04,2025-04-03,C1008,Evergreen Senior Living Inc.,3438.72,Standing order,2025-04
INV-250858,2025-04-04,2025-04-04,C1011,Garfield Industrial Company,8355.39,Standing order,2025-04
INV-250859,2025-04-04,2025-04-03,C1011,Garfield Industrial Company,11856.44,,2025-04
INV-250860,2025-04-04,2025-04-04,C1012,Great Lakes Logistics Inc.,5219.33,,2025-04
INV-250861,2025-04-04,2025-04-03,C1015,Heritage Food Services Inc.,2436.9,,2025-04
INV-250862,2025-04-04,2025-04-04,C1024,North Coast Restaurants LLC,20939.44,Standing order,2025-04
