Date Rec'd,Payer,Ref Inv,Amt
02/23/26,University Circle Services,see remit,"30,039.68"
02/23/26,Sandusky Marine and Supply,INV-260092,"3,310.37"
02/23/26,Summit Healthcare Group Inc.,INV-260352,"9,888.51"
02/24/26,Evergreen Senior Living Inc.,INV-260388,"9,594.66"
02/24/26,Fairlawn Public Schools,INV-260370,"27,246.19"
02/24/26,Hamilton County Services,INV-260265,"29,288.49"
02/24/26,Sandusky Marine and Supply,INV-260071,"15,442.54"
02/24/26,Hamilton County Services,INV-260039,"29,914.13"
02/24/26,Hamilton County Services,INV-260025,"6,600.58"
02/24/26,Fairlawn Public Schools,INV-260426,"18,520.44"
02/25/26,Youngstown Metal Works Inc.,INV-252631,"5,084.76"
02/25/26,University Circle Services,INV-252672,"8,767.92"
02/25/26,Youngstown Metal Works Inc.,INV-252718,"12,060.33"
02/25/26,Tri-State Warehouse Company,INV-260450,"8,587.89"
02/25/26,Forest City Hotels and Resorts,INV-260418,"1,534.31"
02/25/26,Portage Cold Storage Company,INV-260019,"15,942.68"
02/25/26,Lorain Distribution Company,INV-260391,"7,943.17"
02/25/26,Midwest Stadium Services Inc.,INV-260283,"3,468.88"
02/25/26,Tri-State Warehouse Company,INV-260281,"6,857.21"
02/25/26,Great Lakes Logistics Inc.,INV-260228,"29,907.47"
02/25/26,Shaker Square Retail Partners,INV-260443,"29,378.01"
02/26/26,Parma Community College,INV-260203,"27,474.65"
02/26/26,Lakeshore Cleaning Services Inc.,INV-260166,"22,061.64"
02/26/26,Willoughby Tech Center,INV-260441,"6,968.98"
02/26/26,Great Lakes Logistics Inc.,INV-260394,"17,209.38"
02/27/26,Pinnacle Building Services Inc.,INV-260028,"16,292.69"
02/27/26,Garfield Industrial Company,INV-260244,"18,828.14"
02/27/26,Hamilton County Services,INV-260117,"29,625.36"
02/27/26,North Coast Restaurants LLC,INV-260003,"8,532.11"
02/27/26,Tri-State Warehouse Company,INV-260434,"15,042.58"
02/27/26,Summit Healthcare Group Inc.,INV-260076,"4,290.67"
02/27/26,University Circle Services,INV-260089,"16,166.08"
02/27/26,University Circle Services,INV-260211,"22,025.97"
02/27/26,Harborview Apartments LLC,INV-260186,"24,302.29"
02/27/26,Riverside Fitness Clubs LLC,INV-260307,"15,744.50"
02/27/26,Eastgate Office Partners,INV-260025,"28,519.78"
