Inv #,Inv Date,Ship Dt,Customer,Amount,Memo
INV-250704,03/20/2025,03/19/2025,Forest City Hotels and Resorts,4006.72,
INV-250705,20-Mar-25,19-Mar-25,Great Lakes Logistics Inc.,"$3,422.63",
INV-250706,2025-03-20,2025-03-20,Ironwood Property Services,21516.58,
INV-250707,20-Mar-25,20-Mar-25,Kent Valley Hospital,3433.66,
INV-250708,03/20/2025,03/20/2025,Oak Ridge Office Parks,11577.03,
INV-250709,2025-03-20,2025-03-20,Parma Community College,63720.27,
INV-250710,20-Mar-25,20-Mar-25,Twinsburg Industrial Park LLC,8754.91,PO 48032
INV-250711,2025-03-21,2025-03-21,Bayview Medical Center Inc.,4226.40,
INV-250712,03/21/2025,03/21/2025,BAYVIEW MEDICAL CENTER INC.,"$11,450.51",
INV-250713,2025-03-21,2025-03-21,Cedar Point Facility Services,"$8,133.60",Standing order
INV-250714,2025-03-21,2025-03-20,Cedar Point Facility Services,4752.66,PO 40448
INV-250715,21-Mar-25,21-Mar-25,Great Lakes Logistics Inc.,12861.57,
INV-250716,21-Mar-25,21-Mar-25,Midwest Stadium Services Inc.,"$3,346.05",Standing order
INV-250717,2025-03-21,2025-03-21,Summit Healthcare Group Inc.,12841.19,
INV-250718,03/21/2025,03/21/2025,Summit Healthcare Group Inc.,"$9,970.71",
INV-250719,03/21/2025,03/20/2025,WESTLAKE COMMERCIAL CLEANING COMPANY,"$2,145.45",Standing order
INV-250720,2025-03-24,2025-03-24,Bayview Medical Center Inc.,8175.39,PO 46494
INV-250721,03/24/2025,03/23/2025,Evergreen Senior Living Inc.,6159.66,Standing order
INV-250722,24-Mar-25,24-Mar-25,Forest City Hotels and Resorts,11203.89,
INV-250723,03/24/2025,03/23/2025,Garfield Industrial Company,"$7,187.07",
INV-250724,2025-03-24,2025-03-24,Highland Manufacturing Company,"$2,382.40",
INV-250725,2025-03-24,2025-03-24,North Coast Restaurants LLC,5410.51,
INV-250726,2025-03-24,2025-03-23,Oak Ridge Office Parks,"$13,120.27",PO 48856
INV-250727,2025-03-24,2025-03-24,Oak Ridge Office Parks,11063.18,PO 40751
INV-250728,24-Mar-25,24-Mar-25,Parma Community College,3579.49,PO 41314
INV-250729,03/24/2025,03/24/2025,University Circle Services,7768.10,
INV-250730,03/24/2025,03/24/2025,Westlake Commercial Cleaning Company,12058.07,PO 49505
INV-250731,25-Mar-25,25-Mar-25,Bayview Medical Center Inc.,10765.74,
INV-250732,03/25/2025,03/25/2025,Bayview Medical Center Inc.,"$21,588.45",
INV-250733,25-Mar-25,25-Mar-25,Cardinal Hospitality Group LLC,7343.90,
INV-250734,2025-03-25,2025-03-24,Cedar Point Facility Services,43594.40,PO 40719
INV-250735,2025-03-25,2025-03-25,Delmar Janitorial Services LLC,19972.68,
INV-250736,2025-03-25,2025-03-25,Harborview Apartments LLC,5101.20,PO 46898
INV-250737,25-Mar-25,25-Mar-25,Lakeshore Cleaning Services Inc.,8391.00,
INV-250738,03/25/2025,03/25/2025,Medina Auto Group,4729.96,PO 42638
INV-250739,25-Mar-25,25-Mar-25,Parma Community College,26895.76,
INV-250740,2025-03-25,2025-03-25,Pinnacle Building Services Inc.,20830.23,
INV-250741,2025-03-25,2025-03-25,Twinsburg Industrial Park LLC,49308.27,
INV-250742,25-Mar-25,25-Mar-25,Westlake Commercial Cleaning Company,"$6,950.39",PO 44177
INV-250743,2025-03-25,2025-03-24,Westlake Commercial Cleaning Company,"$3,647.27",
INV-250744,2025-03-26,2025-03-25,Bayview Medical Center Inc.,"$4,707.94",
INV-250745,03/26/2025,03/25/2025,Cardinal Hospitality Group,"$8,152.88",
INV-250746,2025-03-26,2025-03-26,Eastgate Office Partners,4226.09,
INV-250747,2025-03-26,2025-03-26,Eastgate Office Partners,"$8,033.29",
INV-250748,03/26/2025,03/25/2025,Garfield Industrial Company,"$10,161.62",
INV-250749,03/26/2025,03/25/2025,Great Lakes Logistics Inc.,9318.81,Standing order
INV-250750,03/26/2025,03/25/2025,Harborview Apartments LLC,13642.73,
INV-250751,26-Mar-25,26-Mar-25,Highland Manufacturing Company,"$2,979.02",Standing order
INV-250752,2025-03-26,2025-03-26,Highland Manufacturing Company,11244.99,
INV-250753,26-Mar-25,26-Mar-25,Highland Manufacturing Company,5414.29,
INV-250754,2025-03-26,2025-03-25,Oak Ridge Office Parks,5597.19,Standing order
INV-250755,26-Mar-25,26-Mar-25,Parma Community College,21769.75,Standing order
INV-250756,03/26/2025,03/25/2025,Portage Cold Storage Company,13230.27,
INV-250757,2025-03-26,2025-03-26,Stark County Services,"$16,475.47",
INV-250758,2025-03-26,2025-03-25,Twinsburg Industrial Park LLC,13770.51,
INV-250759,2025-03-26,2025-03-26,University Circle Services  ,"$10,320.65",
INV-250760,26-Mar-25,25-Mar-25,Westlake Commercial Cleaning Company,10344.86,
INV-250761,2025-03-26,2025-03-26,Westlake Commercial Cleaning Company,34102.18,
INV-250762,03/26/2025,03/25/2025,Youngstown Metal Works Inc.,35085.12,
INV-250763,2025-03-27,2025-03-27,Bayview Medical Center Inc.,12934.26,PO 43702
INV-250764,27-Mar-25,27-Mar-25,Bayview Medical Center Inc.,12721.45,PO 40333
INV-250765,27-Mar-25,27-Mar-25,Bayview Medical Center Inc.,9602.89,
INV-250766,03/27/2025,03/26/2025,Cedar Point Facility Services,"$23,322.95",
INV-250767,03/27/2025,03/27/2025,Cedar Point Facility Services,3565.64,Standing order
INV-250768,2025-03-27,2025-03-27,Eastgate Office Partners,2483.51,PO 40255
INV-250769,03/27/2025,03/27/2025,Forest City Hotels and Resorts,4666.75,PO 41991
INV-250770,03/27/2025,03/26/2025,Forest City Hotels and Resorts,2571.87,
INV-250771,03/27/2025,03/27/2025,Garfield Industrial Company,"$3,927.84",PO 46446
INV-250772,2025-03-27,2025-03-27,Heritage Food Services Inc.,"$9,459.97",
INV-250773,27-Mar-25,27-Mar-25,Kent Valley Hospital,6490.35,PO 44481
INV-250774,27-Mar-25,27-Mar-25,Oak Ridge Office Parks,9659.80,PO 41579
INV-250775,03/27/2025,03/27/2025,PARMA COMMUNITY COLLEGE,"$15,730.44",
INV-250776,2025-03-27,2025-03-26,Summit Healthcare Group Inc.,"$5,610.14",
INV-250777,27-Mar-25,27-Mar-25,Twinsburg Industrial Park LLC,"$9,644.68",
INV-250778,2025-03-27,2025-03-26,Valley View Hotels Inc.,7997.53,Standing order
INV-250779,2025-03-27,2025-03-27,Westlake Commercial Cleaning Company,"$44,863.65",
INV-250780,2025-03-27,2025-03-26,Westlake Commercial Cleaning Company,15306.41,Standing order
INV-250781,2025-03-28,2025-03-27,Cedar Point Facility Services,46524.17,
INV-250782,2025-03-28,2025-03-28,Forest City Hotels And Resorts,3037.88,
INV-250783,28-Mar-25,27-Mar-25,Garfield Industrial Company,2126.13,
INV-250784,2025-03-28,2025-03-28,Great Lakes Logistics Inc.,16414.38,
INV-250785,03/28/2025,03/28/2025,Harborview Apartments LLC,"$25,371.58",
INV-250786,28-Mar-25,28-Mar-25,Medina Auto Group,7282.68,
INV-250787,28-Mar-25,28-Mar-25,North Coast Restaurants LLC,24344.27,PO 46156
INV-250788,28-Mar-25,28-Mar-25,Portage Cold Storage Company,"$4,041.79",
INV-250789,28-Mar-25,28-Mar-25,University Circle Services,"$9,384.48",
INV-250790,28-Mar-25,28-Mar-25,Westlake Commercial Cleaning Company,23623.69,Standing order
INV-250791,03/28/2025,03/28/2025,Youngstown Metal Works Inc.,"$21,014.22",
INV-250792,2025-03-31,2025-03-31,Bayview Medical Center Inc.,8490.12,
INV-250793,2025-03-31,2025-03-30,Cardinal Hospitality Group LLC,9370.97,
INV-250794,31-Mar-25,31-Mar-25,Garfield Industrial Company,11260.26,PO 44669
INV-250795,03/31/2025,03/30/2025,Hamilton County Services,7685.66,
INV-250796,2025-03-31,2025-03-31,Medina Auto Group,"$5,328.22",
INV-250797,03/31/2025,03/30/2025,Oak Ridge Office Parks,4932.72,
INV-250798,31-Mar-25,31-Mar-25,Parma Community College,4091.86,
INV-250799,31-Mar-25,31-Mar-25,Pinnacle Building Services Inc.,7613.42,
INV-250800,31-Mar-25,30-Mar-25,Shaker Square Retail Partners,"$4,407.86",PO 46747
INV-250801,03/31/2025,03/30/2025,Summit Healthcare Group Inc.,5714.36,Standing order
INV-250802,2025-03-31,2025-03-30,Youngstown Metal Works Inc.,8452.45,Standing order
,,,Subtotal - Mar 2025,"$3,189,004.60",
INV-250803,01-Apr-25,01-Apr-25,Delmar Janitorial Services LLC,11672.18,
INV-250804,04/01/2025,04/01/2025,Eastgate Office Partners,20330.49,Standing order
INV-250805,01-Apr-25,01-Apr-25,Kent Valley Hospital,4762.84,Standing order
INV-250806,2025-04-01,2025-04-01,Lakeshore Cleaning Services Inc.,"$9,392.47",
INV-250807,2025-04-01,2025-03-31,Oak Ridge Office Parks,11161.49,Standing order
INV-250808,01-Apr-25,31-Mar-25,Portage Cold Storage Company,"$16,690.18",
INV-250809,01-Apr-25,01-Apr-25,Portage Cold Storage Company,3869.47,
INV-250810,2025-04-01,2025-04-01,Summit Healthcare Group Inc.,10083.17,
INV-250811,01-Apr-25,01-Apr-25,Twinsburg Industrial Park LLC,13477.32,PO 46413
INV-250812,2025-04-01,2025-03-31,Twinsburg Industrial Park LLC,18088.97,
INV-250813,2025-04-01,2025-03-31,Twinsburg Industrial Park LLC,3895.80,
INV-250814,2025-04-01,2025-04-01,University Circle Services,9785.84,
INV-250815,04/01/2025,03/31/2025,University Circle Svcs,24777.72,Standing order
INV-250816,2025-04-01,2025-04-01,Youngstown Metal Works Inc.,3049.47,Standing order
INV-250817,01-Apr-25,01-Apr-25,Youngstown Metal Works Inc.,"$67,735.81",
INV-250818,2025-04-01,2025-04-01,Youngstown Metal Works,5404.93,
INV-250819,2025-04-02,2025-04-02,Bayview Medical Center Inc.,8859.33,
INV-250820,04/02/2025,04/02/2025,Cedar Point Facility Services,"$4,383.28",
INV-250821,2025-04-02,2025-04-01,Medina Auto Group,4218.14,PO 42528
INV-250822,04/02/2025,04/02/2025,MEDINA AUTO GROUP,"$4,055.69",
INV-250823,02-Apr-25,02-Apr-25,MEDINA AUTO GROUP,12038.47,
INV-250824,04/02/2025,04/02/2025,Oak Ridge Office Parks,"$16,803.58",PO 45520
INV-250825,02-Apr-25,01-Apr-25,Parma Community College,"$2,350.95",
INV-250826,04/02/2025,04/02/2025,Parma Community College,12365.32,PO 43342
INV-250827,02-Apr-25,02-Apr-25,Parma Community College,8736.47,
INV-250828,04/02/2025,04/02/2025,Summit Healthcare Group Inc.,"$4,638.29",Standing order
INV-250829,02-Apr-25,01-Apr-25,Summit Healthcare Group Inc.,5918.55,
INV-250830,2025-04-02,2025-04-01,University Circle Services,30929.13,
INV-250831,2025-04-02,2025-04-01,Westlake Commercial Cleaning Company,"$17,389.52",PO 48723
INV-250832,2025-04-02,2025-04-02,Willoughby Tech Center,20975.86,PO 49630
INV-250833,2025-04-02,2025-04-02,Youngstown Metal Works Inc.,"$5,677.74",PO 44298
INV-250834,2025-04-02,2025-04-02,Youngstown Metal Works Inc.,"$2,246.62",
INV-250835,2025-04-02,2025-04-02,Youngstown Metal Works Inc.,13086.01,Standing order
INV-250836,02-Apr-25,02-Apr-25,Youngstown Metal Works Inc.,"$8,962.18",Standing order
INV-250837,2025-04-02,2025-04-02,Youngstown Metal Works Inc.  ,11269.91,Standing order
INV-250838,2025-04-03,2025-04-03,Clearwater Janitorial Company,"$11,333.74",
INV-250839,03-Apr-25,03-Apr-25,Clearwater Janitorial Company,"$4,722.76",
INV-250840,04/03/2025,04/03/2025,Fairlawn Public Schools,9741.50,PO 40223
INV-250841,03-Apr-25,03-Apr-25,Garfield Industrial Company,9717.65,PO 48569
INV-250842,04/03/2025,04/03/2025,Garfield Industrial Company,25120.99,Standing order
INV-250843,04/03/2025,04/03/2025,GREAT LAKES LOGISTICS INC.,"$3,556.55",
INV-250844,2025-04-03,2025-04-02,Harborview Apartments LLC,3060.06,
INV-250845,03-Apr-25,03-Apr-25,Midwest Stadium Services Inc.,10355.93,
INV-250846,2025-04-03,2025-04-03,Shaker Square Retail Partners,1424.22,
INV-250847,03-Apr-25,03-Apr-25,Twinsburg Industrial Park LLC,9713.30,
INV-250848,2025-04-03,2025-04-03,Twinsburg Industrial Park,21067.23,PO 47285
INV-250849,03-Apr-25,03-Apr-25,University Circle Services,12526.81,
INV-250850,04/03/2025,04/03/2025,Valley View Hotels Inc.,4058.65,
INV-250851,04/03/2025,04/03/2025,Westlake Commercial Cleaning Company,"$4,915.92",Standing order
INV-250852,03-Apr-25,03-Apr-25,Youngstown Metal Works Inc.,3250.68,Standing order
INV-250853,03-Apr-25,03-Apr-25,Youngstown Metal Works Inc.,8111.01,
INV-250854,04-Apr-25,04-Apr-25,Bayview Medical Center Inc.,11966.79,
INV-250855,04/04/2025,04/04/2025,Cedar Point Facility Services,4260.93,
INV-250856,04-Apr-25,04-Apr-25,Clearwater Janitorial Company,6009.96,
INV-250857,2025-04-04,2025-04-03,Evergreen Senior Living Inc.,"$3,438.72",Standing order
INV-250858,2025-04-04,2025-04-04,Garfield Industrial Company,8355.39,Standing order
INV-250859,2025-04-04,2025-04-03,GARFIELD INDUSTRIAL COMPANY,11856.44,
INV-250860,04/04/2025,04/04/2025,Great Lakes Logistics Inc.,5219.33,
INV-250861,04/04/2025,04/03/2025,Heritage Food Services Inc.,2436.90,
INV-250862,2025-04-04,2025-04-04,North Coast Restaurants LLC,"$20,939.44",Standing order
INV-250863,2025-04-04,2025-04-04,Parma Community College,"$21,727.62",Standing order
INV-250864,2025-04-04,2025-04-04,Parma Community College,"$5,859.89",PO 43508
INV-250865,2025-04-04,2025-04-04,Parma Community College,4645.52,
INV-250866,04-Apr-25,03-Apr-25,Sandusky Marine and Supply,7560.36,Standing order
INV-250867,2025-04-04,2025-04-03,Sandusky Marine & Supply,4167.70,
INV-250868,04/04/2025,04/04/2025,Sandusky Marine & Supply,3398.22,
INV-250869,04/04/2025,04/04/2025,Summit Healthcare Group Inc.,"$21,664.05",PO 48598
INV-250870,04/04/2025,04/04/2025,Tri-State Warehouse Company,4457.35,
INV-250871,2025-04-04,2025-04-04,Tri-State Warehouse Company,4731.96,
INV-250872,04/04/2025,04/04/2025,Twinsburg Industrial Park LLC,"$3,905.74",PO 48318
INV-250873,2025-04-04,2025-04-03,University Circle Services,6757.52,Standing order
INV-250874,2025-04-07,2025-04-07,Allegheny Property Management LLC,12444.73,Standing order
INV-250875,07-Apr-25,07-Apr-25,Cedar Point Facility Services,10291.05,PO 46567
INV-250876,2025-04-07,2025-04-07,Cedar Point Facility Services,5047.92,Standing order
INV-250877,2025-04-07,2025-04-07,Forest City Hotels and Resorts,2337.14,
INV-250878,04/07/2025,04/07/2025,Heritage Food Services Inc.,6663.33,PO 48047
INV-250879,04/07/2025,04/07/2025,Kent Valley Hospital,9818.32,
INV-250880,04/07/2025,04/07/2025,Oak Ridge Office Parks,"$17,249.62",
INV-250881,04/07/2025,04/07/2025,Sandusky Marine and Supply,"$9,067.52",
INV-250882,04/07/2025,04/06/2025,University Circle Services,"$11,798.53",Standing order
INV-250883,2025-04-07,2025-04-07,Westlake Commercial Cleaning Company,"$2,839.98",
INV-250884,04/07/2025,04/06/2025,Westlake Commercial Cleaning Company,14616.40,
INV-250885,2025-04-07,2025-04-07,Westlake Commercial Cleaning Company,14211.47,
INV-250886,04/08/2025,04/08/2025,Allegheny Property Management LLC,"$9,031.03",PO 48372
INV-250887,2025-04-08,2025-04-08,Bayview Medical Center Inc.,"$5,598.90",PO 46573
INV-250888,08-Apr-25,08-Apr-25,Bayview Medical Center Inc.  ,23492.14,
INV-250889,2025-04-08,2025-04-07,Bayview Medical Center Inc.,5524.73,
INV-250890,2025-04-08,2025-04-08,Evergreen Senior Living Inc.,"$7,411.43",
INV-250891,04/08/2025,04/07/2025,Forest City Hotels and Resorts  ,2458.07,PO 43242
INV-250892,08-Apr-25,08-Apr-25,Garfield Industrial Company,"$22,051.13",Standing order
INV-250893,04/08/2025,04/07/2025,Kent Valley Hospital,13307.40,
INV-250894,2025-04-08,2025-04-08,Oak Ridge Office Parks  ,"$5,131.37",
INV-250895,04/08/2025,04/08/2025,Oak Ridge Office Parks,2311.64,
INV-250896,04/08/2025,04/08/2025,Parma Community College,6340.35,
INV-250897,08-Apr-25,07-Apr-25,Tri-State Warehouse Company,14885.85,
INV-250898,2025-04-08,2025-04-07,Twinsburg Industrial Park LLC,2909.51,
INV-250899,08-Apr-25,08-Apr-25,Twinsburg Industrial Park LLC,"$8,616.05",
INV-250900,04/08/2025,04/08/2025,University Circle Services,11682.35,
INV-250901,04/08/2025,04/08/2025,UNIVERSITY CIRCLE SERVICES,5399.64,
INV-250902,08-Apr-25,08-Apr-25,Westlake Commercial Cleaning Company,"$15,911.67",
INV-250903,2025-04-08,2025-04-08,Westlake Commercial Cleaning Company,"$7,211.39",
INV-250904,2025-04-09,2025-04-08,Great Lakes Logistics Inc.,8316.80,Standing order
INV-250905,2025-04-09,2025-04-08,Harborview Apartments LLC,7403.45,PO 48911
INV-250906,04/09/2025,04/09/2025,Oak Ridge Office Parks,4429.68,Standing order
INV-250907,04/09/2025,04/09/2025,Parma Community College,"$10,082.53",
INV-250908,09-Apr-25,09-Apr-25,University Circle Services,"$16,935.17",PO 43422
INV-250909,04/10/2025,04/09/2025,Bayview Medical Center Inc.,14763.58,Standing order
INV-250910,10-Apr-25,09-Apr-25,Cardinal Hospitality Group LLC,3184.83,
INV-250911,04/10/2025,04/09/2025,Eastgate Office Partners,"$5,240.11",Standing order
INV-250912,10-Apr-25,10-Apr-25,Evergreen Senior Living Inc.,4002.98,
INV-250913,04/10/2025,04/10/2025,Evergreen Senior Living Inc.,13950.58,Standing order
INV-250914,04/10/2025,04/09/2025,Garfield Industrial Company,"$22,327.78",PO 45796
INV-250915,10-Apr-25,10-Apr-25,Great Lakes Logistics Inc.,6742.92,Standing order
INV-250916,2025-04-10,2025-04-10,Kent Valley Hospital,"$6,576.69",Standing order
INV-250917,10-Apr-25,10-Apr-25,Medina Auto Group,7983.66,Standing order
INV-250918,10-Apr-25,10-Apr-25,Midwest Stadium Svcs Inc.,"$2,101.18",
INV-250919,10-Apr-25,09-Apr-25,North Coast Restaurants LLC,11677.07,PO 46887
INV-250920,04/10/2025,04/10/2025,Oak Ridge Office Parks,2853.68,Standing order
INV-250921,2025-04-10,2025-04-10,Oak Ridge Office Parks,"$17,578.70",
INV-250922,04/10/2025,04/10/2025,Oak Ridge Office Parks  ,8362.88,
INV-250923,04/10/2025,04/10/2025,Parma Community College,2286.06,Standing order
INV-250924,10-Apr-25,09-Apr-25,Pinnacle Building Services Inc.,5465.38,
INV-250925,04/10/2025,04/10/2025,Riverside Fitness Clubs LLC,"$7,582.04",
INV-250926,10-Apr-25,10-Apr-25,Sandusky Marine and Supply,"$12,192.73",PO 46493
INV-250927,04/10/2025,04/10/2025,Summit Healthcare Group Inc.,"$3,656.32",Standing order
INV-250928,2025-04-10,2025-04-09,Summit Healthcare Group Inc.,"$26,143.72",
INV-250929,2025-04-10,2025-04-10,Westlake Commercial Cleaning Company,"$3,841.69",
INV-250930,04/11/2025,04/11/2025,Bayview Medical Center Inc.,10613.52,PO 42052
INV-250931,2025-04-11,2025-04-11,Forest City Hotels and Resorts,3594.24,
INV-250932,2025-04-11,2025-04-11,Great Lakes Logistics Inc.,8750.80,
INV-250933,04/11/2025,04/11/2025,Harborview Apartments LLC,6164.31,
INV-250934,2025-04-11,2025-04-11,Portage Cold Storage Company,"$4,397.01",PO 42831
INV-250935,04/11/2025,04/11/2025,Portage Cold Storage Company,"$4,136.41",
INV-250936,11-Apr-25,10-Apr-25,PORTAGE COLD STORAGE COMPANY,3180.13,
INV-250937,2025-04-11,2025-04-11,Valley View Hotels Inc.,"$6,590.96",
INV-250938,2025-04-11,2025-04-11,Youngstown Metal Works Inc.,6148.56,
INV-250939,04/11/2025,04/11/2025,Youngstown Metal Works Inc.,3422.92,
INV-250940,2025-04-14,2025-04-14,Cedar Point Facility Services,12207.56,Standing order
INV-250941,04/14/2025,04/14/2025,Garfield Industrial Company,3642.98,
INV-250942,14-Apr-25,14-Apr-25,Great Lakes Logistics Inc.,"$9,173.49",
INV-250943,14-Apr-25,14-Apr-25,Hamilton County Services,19901.26,
INV-250944,2025-04-14,2025-04-14,Heritage Food Services Inc.,4896.38,
INV-250945,04/14/2025,04/14/2025,Midwest Stadium Services Inc.,5199.82,
INV-250946,2025-04-14,2025-04-14,MIDWEST STADIUM SERVICES INC.,7671.81,
INV-250947,04/14/2025,04/13/2025,Oak Ridge Office Parks,10059.18,Standing order
INV-250948,04/14/2025,04/14/2025,Parma Community College,"$6,632.16",
INV-250949,2025-04-14,2025-04-13,Parma Community College,23878.83,Standing order
INV-250950,14-Apr-25,13-Apr-25,Portage Cold Storage Company,3537.70,PO 45471
INV-250951,04/14/2025,04/14/2025,Summit Healthcare Group Inc.,33283.38,
INV-250952,04/14/2025,04/14/2025,Summit Healthcare Group Inc.,"$5,492.77",
INV-250953,04/14/2025,04/14/2025,Twinsburg Industrial Park LLC,26098.34,PO 48299
INV-250954,04/14/2025,04/14/2025,TWINSBURG INDUSTRIAL PARK LLC,"$7,265.18",
INV-250955,2025-04-14,2025-04-13,University Circle Services,6503.29,
INV-250956,14-Apr-25,13-Apr-25,University Circle Services,12220.01,PO 49188
INV-250957,2025-04-14,2025-04-13,Youngstown Metal Works Inc.,7925.67,
INV-250958,2025-04-15,2025-04-15,Clearwater Janitorial Company,"$7,861.15",
INV-250959,04/15/2025,04/15/2025,Great Lakes Logistics Inc.,2677.99,
INV-250960,04/15/2025,04/15/2025,Lakeshore Cleaning Services Inc.,"$34,051.68",
INV-250961,15-Apr-25,14-Apr-25,Medina Auto Group,11072.44,
INV-250962,2025-04-15,2025-04-15,Midwest Stadium Services Inc.,"$11,931.04",
INV-250963,04/15/2025,04/14/2025,Pinnacle Building Services,5137.47,Standing order
INV-250964,15-Apr-25,15-Apr-25,Westlake Commercial Cleaning Company,11397.70,
INV-250965,2025-04-15,2025-04-14,Westlake Commercial Cleaning Company,10925.07,Standing order
INV-250966,2025-04-15,2025-04-15,Westlake Commercial Cleaning Company,2578.40,
INV-250967,2025-04-15,2025-04-15,Youngstown Metal Works Inc.,5725.60,PO 41962
INV-250968,15-Apr-25,15-Apr-25,Youngstown Metal Works Inc.,2721.72,
INV-250969,04/15/2025,04/14/2025,Youngstown Metal Works Inc.,"$8,829.33",Standing order
INV-250970,16-Apr-25,16-Apr-25,Clearwater Janitorial Company,12253.96,
INV-250971,2025-04-16,2025-04-16,Garfield Industrial Company,"$8,130.67",
INV-250972,04/16/2025,04/16/2025,Great Lakes Logistics Inc.,11154.49,PO 41405
INV-250973,04/16/2025,04/16/2025,Heritage Food Services Inc.,"$27,582.02",
INV-250974,2025-04-16,2025-04-16,Heritage Food Services Inc.  ,"$2,618.51",PO 49633
INV-250975,04/16/2025,04/16/2025,Medina Auto Group,16556.31,
INV-250976,04/16/2025,04/15/2025,Midwest Stadium Services Inc.,6919.63,PO 40354
INV-250977,04/16/2025,04/15/2025,Parma Community College,8459.13,
INV-250978,16-Apr-25,16-Apr-25,Twinsburg Industrial Park LLC,"$11,984.37",
INV-250979,16-Apr-25,16-Apr-25,Twinsburg Industrial Park LLC,11249.39,PO 44743
INV-250980,04/16/2025,04/15/2025,Westlake Commercial Cleaning Company,13301.24,
INV-250981,16-Apr-25,16-Apr-25,Westlake Commercial Cleaning Company,6500.68,PO 47948
INV-250982,04/16/2025,04/16/2025,Westlake Commercial Cleaning Company,7180.51,
INV-250983,04/16/2025,04/16/2025,Youngstown Metal Works Inc.,"$10,104.80",
INV-250984,17-Apr-25,16-Apr-25,Bayview Medical Center Inc.,4283.95,
INV-250985,17-Apr-25,17-Apr-25,Garfield Industrial Company,7499.62,
INV-250986,04/17/2025,04/16/2025,Great Lakes Logistics Inc.  ,"$11,184.32",
INV-250987,17-Apr-25,16-Apr-25,Medina Auto Group,"$7,426.33",PO 40832
INV-250988,17-Apr-25,17-Apr-25,Medina Auto Group,3647.90,
INV-250989,17-Apr-25,16-Apr-25,Summit Healthcare Group Inc.,"$13,888.31",
INV-250990,04/17/2025,04/17/2025,Summit Healthcare Group Inc.,7678.98,PO 49849
INV-250991,2025-04-17,2025-04-17,Twinsburg Industrial Park LLC,26541.24,PO 41505
INV-250992,2025-04-18,2025-04-18,Eastgate Office Partners,"$9,048.30",
INV-250993,18-Apr-25,17-Apr-25,Garfield Industrial Company,8033.93,
INV-250994,18-Apr-25,18-Apr-25,Midwest Stadium Services Inc.  ,"$3,078.13",
INV-250995,04/18/2025,04/18/2025,Midwest Stadium Services Inc.,7200.35,
INV-250996,2025-04-18,2025-04-18,Oak Ridge Office Parks,3712.93,
INV-250997,2025-04-18,2025-04-18,Parma Community College,"$4,231.94",Standing order
INV-250998,04/18/2025,04/18/2025,Summit Healthcare Group Inc.,"$17,853.30",
INV-250999,04/18/2025,04/18/2025,Twinsburg Industrial Park LLC,11157.58,
INV-251000,18-Apr-25,18-Apr-25,University Circle Svcs,13168.76,
INV-251001,04/18/2025,04/17/2025,Westlake Commercial Cleaning Company,5871.49,
INV-251002,2025-04-18,2025-04-18,Willoughby Tech Center,3407.83,
INV-251003,04/18/2025,04/17/2025,Youngstown Metal Works Inc.,9921.38,PO 46521
INV-251004,04/21/2025,04/21/2025,Eastgate Office Partners,5419.77,
INV-251005,04/21/2025,04/21/2025,Forest City Hotels and Resorts,6519.27,
INV-251006,04/21/2025,04/21/2025,Forest City Hotels and Resorts,3446.88,
INV-251007,2025-04-21,2025-04-20,Maple Heights Facilities LLC,3631.84,
INV-251008,21-Apr-25,20-Apr-25,North Coast Restaurants LLC,"$3,129.94",PO 43631
INV-251009,04/21/2025,04/20/2025,Portage Cold Storage Company,"$6,983.09",
INV-251010,04/21/2025,04/21/2025,Twinsburg Industrial Park LLC,"$4,360.71",Standing order
INV-251011,21-Apr-25,21-Apr-25,University Circle Services,7798.85,Standing order
INV-251012,04/21/2025,04/21/2025,UNIVERSITY CIRCLE SERVICES,4513.43,
INV-251013,21-Apr-25,21-Apr-25,Westlake Commercial Cleaning Company  ,"$43,080.27",
INV-251014,21-Apr-25,21-Apr-25,Youngstown Metal Works Inc.,"$2,018.70",Standing order
INV-251015,04/21/2025,04/21/2025,Youngstown Metal Works Inc.,11104.45,Standing order
INV-251016,21-Apr-25,21-Apr-25,Youngstown Metal Works Inc.,"$1,568.25",
INV-251017,2025-04-22,2025-04-22,Delmar Janitorial Services LLC,"$9,530.35",Standing order
INV-251018,04/22/2025,04/22/2025,Hamilton County Services,10263.21,
INV-251019,2025-04-22,2025-04-21,Heritage Food Services Inc.,6070.70,
INV-251020,2025-04-22,2025-04-22,Kent Valley Hospital,14479.29,PO 40445
INV-251021,2025-04-22,2025-04-22,Parma Community College,"$9,237.04",Standing order
INV-251022,22-Apr-25,22-Apr-25,Parma Community College,5711.85,
INV-251023,2025-04-22,2025-04-22,Parma Community College,3647.32,Standing order
INV-251024,2025-04-22,2025-04-22,Riverside Fitness Clubs LLC,61736.15,
INV-251025,2025-04-22,2025-04-21,Sandusky Marine and Supply,37409.97,Standing order
INV-251026,2025-04-22,2025-04-22,Sandusky Marine and Supply,6762.27,
INV-251027,22-Apr-25,21-Apr-25,Summit Healthcare Group Inc.,36203.22,Standing order
INV-251028,04/22/2025,04/22/2025,Twinsburg Industrial Park LLC,"$8,903.71",Standing order
INV-251029,04/22/2025,04/22/2025,Twinsburg Industrial Park LLC,"$7,939.59",PO 47940
INV-251030,22-Apr-25,22-Apr-25,University Circle Services,17979.87,
INV-251031,04/22/2025,04/22/2025,University Circle Services,7107.25,PO 42290
